Model=CNNV1, Epoch 1/25: BatchSize=32, Loss=0,183382, MSE=0,119619, RMSE=0,345860, R²=0,488282
Model=CNNV1, Epoch 2/25: BatchSize=32, Loss=0,088575, MSE=0,070576, RMSE=0,265661, R²=0,698084
Model=CNNV1, Epoch 3/25: BatchSize=32, Loss=0,042229, MSE=0,048762, RMSE=0,220821, R²=0,791401
Model=CNNV1, Epoch 4/25: BatchSize=32, Loss=0,024021, MSE=0,038658, RMSE=0,196617, R²=0,834624
Model=CNNV1, Epoch 5/25: BatchSize=32, Loss=0,013011, MSE=0,030837, RMSE=0,175606, R²=0,868081
Model=CNNV1, Epoch 6/25: BatchSize=32, Loss=0,009021, MSE=0,027923, RMSE=0,167102, R²=0,880548
Model=CNNV1, Epoch 7/25: BatchSize=32, Loss=0,008686, MSE=0,024701, RMSE=0,157166, R²=0,894331
Model=CNNV1, Epoch 8/25: BatchSize=32, Loss=0,008269, MSE=0,021972, RMSE=0,148230, R²=0,906005
Model=CNNV1, Epoch 9/25: BatchSize=32, Loss=0,007010, MSE=0,019832, RMSE=0,140827, R²=0,915160
Model=CNNV1, Epoch 10/25: BatchSize=32, Loss=0,011687, MSE=0,020528, RMSE=0,143275, R²=0,912184
Model=CNNV1, Epoch 11/25: BatchSize=32, Loss=0,008416, MSE=0,031190, RMSE=0,176608, R²=0,866571
Model=CNNV1, Epoch 12/25: BatchSize=32, Loss=0,023713, MSE=0,015683, RMSE=0,125230, R²=0,932912
Model=CNNV1, Epoch 13/25: BatchSize=32, Loss=0,009929, MSE=0,015576, RMSE=0,124803, R²=0,933369
Model=CNNV1, Epoch 14/25: BatchSize=32, Loss=0,004984, MSE=0,011652, RMSE=0,107943, R²=0,950156
Model=CNNV1, Epoch 15/25: BatchSize=32, Loss=0,003141, MSE=0,012009, RMSE=0,109584, R²=0,948629
Model=CNNV1, Epoch 16/25: BatchSize=32, Loss=0,001427, MSE=0,012040, RMSE=0,109729, R²=0,948493
Model=CNNV1, Epoch 17/25: BatchSize=32, Loss=0,001386, MSE=0,012177, RMSE=0,110349, R²=0,947909
Model=CNNV1, Epoch 18/25: BatchSize=32, Loss=0,004985, MSE=0,011333, RMSE=0,106455, R²=0,951520
Model=CNNV1, Epoch 19/25: BatchSize=32, Loss=0,002647, MSE=0,012860, RMSE=0,113401, R²=0,944987
Model=CNNV1, Epoch 20/25: BatchSize=32, Loss=0,008280, MSE=0,018271, RMSE=0,135171, R²=0,921838
Model=CNNV1, Epoch 21/25: BatchSize=32, Loss=0,007350, MSE=0,011857, RMSE=0,108888, R²=0,949278
Model=CNNV1, Epoch 22/25: BatchSize=32, Loss=0,007658, MSE=0,009102, RMSE=0,095403, R²=0,961064
Model=CNNV1, Epoch 23/25: BatchSize=32, Loss=0,002943, MSE=0,014072, RMSE=0,118625, R²=0,939802
Model=CNNV1, Epoch 24/25: BatchSize=32, Loss=0,005134, MSE=0,014186, RMSE=0,119104, R²=0,939315
Model=CNNV1, Epoch 25/25: BatchSize=32, Loss=0,003893, MSE=0,008990, RMSE=0,094817, R²=0,961540
