Model=CNNV1, Epoch 1/10: BatchSize=32, Loss=0,115878, MSE=0,194729, RMSE=0,441282, R²=0,177465 (765, 27, 208)
Model=CNNV1, Epoch 2/10: BatchSize=32, Loss=0,101934, MSE=0,188697, RMSE=0,434392, R²=0,202947
Model=CNNV1, Epoch 3/10: BatchSize=32, Loss=0,093648, MSE=0,182882, RMSE=0,427647, R²=0,227510
Model=CNNV1, Epoch 4/10: BatchSize=32, Loss=0,058551, MSE=0,178270, RMSE=0,422221, R²=0,246989
Model=CNNV1, Epoch 5/10: BatchSize=32, Loss=0,056037, MSE=0,173536, RMSE=0,416577, R²=0,266985
Model=CNNV1, Epoch 6/10: BatchSize=32, Loss=0,063251, MSE=0,169711, RMSE=0,411960, R²=0,283142
Model=CNNV1, Epoch 7/10: BatchSize=32, Loss=0,057580, MSE=0,167701, RMSE=0,409514, R²=0,291631
Model=CNNV1, Epoch 8/10: BatchSize=32, Loss=0,048174, MSE=0,166211, RMSE=0,407689, R²=0,297928
Model=CNNV1, Epoch 9/10: BatchSize=32, Loss=0,051747, MSE=0,163743, RMSE=0,404652, R²=0,308351
Model=CNNV1, Epoch 10/10: BatchSize=32, Loss=0,042734, MSE=0,161685, RMSE=0,402100, R²=0,317045
Model=CNNV2dropout, Epoch 1/10: BatchSize=32, Loss=0,166443, MSE=0,200418, RMSE=0,447681, R²=0,156167 (861, 22, 117)
Model=CNNV2dropout, Epoch 2/10: BatchSize=32, Loss=0,169469, MSE=0,197554, RMSE=0,444471, R²=0,168225
Model=CNNV2dropout, Epoch 3/10: BatchSize=32, Loss=0,161853, MSE=0,192990, RMSE=0,439306, R²=0,187443
Model=CNNV2dropout, Epoch 4/10: BatchSize=32, Loss=0,175642, MSE=0,190387, RMSE=0,436334, R²=0,198401
Model=CNNV2dropout, Epoch 5/10: BatchSize=32, Loss=0,162299, MSE=0,190397, RMSE=0,436345, R²=0,198361
Model=CNNV2dropout, Epoch 6/10: BatchSize=32, Loss=0,152452, MSE=0,185942, RMSE=0,431209, R²=0,217120
Model=CNNV2dropout, Epoch 7/10: BatchSize=32, Loss=0,161160, MSE=0,185668, RMSE=0,430893, R²=0,218270
Model=CNNV2dropout, Epoch 8/10: BatchSize=32, Loss=0,160810, MSE=0,184181, RMSE=0,429163, R²=0,224532
Model=CNNV2dropout, Epoch 9/10: BatchSize=32, Loss=0,154438, MSE=0,184375, RMSE=0,429389, R²=0,223714
Model=CNNV2dropout, Epoch 10/10: BatchSize=32, Loss=0,156363, MSE=0,181129, RMSE=0,425592, R²=0,237383
Model=CNNV3large, Epoch 1/20: BatchSize=32, Loss=0,202293, MSE=0,200298, RMSE=0,447546, R²=0,156675 (856, 26, 118)
Model=CNNV3large, Epoch 2/20: BatchSize=32, Loss=0,223853, MSE=0,194867, RMSE=0,441438, R²=0,179539
Model=CNNV3large, Epoch 3/20: BatchSize=32, Loss=0,215069, MSE=0,191146, RMSE=0,437202, R²=0,195207
Model=CNNV3large, Epoch 4/20: BatchSize=32, Loss=0,194168, MSE=0,190113, RMSE=0,436019, R²=0,199558
Model=CNNV3large, Epoch 5/20: BatchSize=32, Loss=0,175776, MSE=0,186460, RMSE=0,431810, R²=0,214938
Model=CNNV3large, Epoch 6/20: BatchSize=32, Loss=0,188338, MSE=0,184808, RMSE=0,429893, R²=0,221893
